mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.30009021759033205,0.007921317849320481,0.010114431381225586,0.0033645426874997215,0.7,10,0.01,1.0,800,7,0.1388888888888889,4.5,1.0,"{'subsample': np.float64(0.7), 'scale_pos_weight': 10, 'reg_lambda': np.float64(0.01), 'reg_alpha': np.float64(1.0), 'n_estimators': np.int64(800), 'max_depth': np.int64(7), 'learning_rate': np.float64(0.1388888888888889), 'gamma': np.float64(4.5), 'colsample_bytree': np.float64(1.0)}",0.5373134328358209,0.5294117647058824,0.5384615384615384,0.41975308641975306,0.5714285714285714,0.5192736787703133,0.05180901196261503,5
0.21205925941467285,0.04054048466223956,0.008102893829345703,0.003082181257372025,0.5,2,1.0,0.001,500,3,0.23555555555555557,0.0,0.9,"{'subsample': np.float64(0.5), 'scale_pos_weight': 2, 'reg_lambda': np.float64(1.0), 'reg_alpha': np.float64(0.001), 'n_estimators': np.int64(500), 'max_depth': np.int64(3), 'learning_rate': np.float64(0.23555555555555557), 'gamma': np.float64(0.0), 'colsample_bytree': np.float64(0.9)}",0.4444444444444444,0.4444444444444444,0.5,0.4406779661016949,0.5555555555555556,0.4770244821092279,0.04503108005221498,45
0.25591650009155276,0.040104018896917594,0.008298254013061524,0.006164957690500697,0.5,10,1.0,1.0,1000,13,0.23555555555555557,4.5,1.0,"{'subsample': np.float64(0.5), 'scale_pos_weight': 10, 'reg_lambda': np.float64(1.0), 'reg_alpha': np.float64(1.0), 'n_estimators': np.int64(1000), 'max_depth': np.int64(13), 'learning_rate': np.float64(0.23555555555555557), 'gamma': np.float64(4.5), 'colsample_bytree': np.float64(1.0)}",0.4788732394366197,0.4927536231884058,0.49411764705882355,0.5,0.4444444444444444,0.4820377908256587,0.02003330739491134,40
0.1993244171142578,0.02057104431025394,0.005837631225585937,0.001922659435685036,0.7,10,0.1,0.01,700,9,0.1711111111111111,1.5,1.0,"{'subsample': np.float64(0.7), 'scale_pos_weight': 10, 'reg_lambda': np.float64(0.1), 'reg_alpha': np.float64(0.01), 'n_estimators': np.int64(700), 'max_depth': np.int64(9), 'learning_rate': np.float64(0.1711111111111111), 'gamma': np.float64(1.5), 'colsample_bytree': np.float64(1.0)}",0.5245901639344263,0.42105263157894735,0.4838709677419355,0.45614035087719296,0.53125,0.48338082282650047,0.04151326269053774,38
0.06998605728149414,0.006121873463565555,0.005976200103759766,0.003535761450536253,0.5,5,0.001,10.0,200,13,0.3,1.5,0.8,"{'subsample': np.float64(0.5), 'scale_pos_weight': 5, 'reg_lambda': np.float64(0.001), 'reg_alpha': np.float64(10.0), 'n_estimators': np.int64(200), 'max_depth': np.int64(13), 'learning_rate': np.float64(0.3), 'gamma': np.float64(1.5), 'colsample_bytree': np.float64(0.8)}",0.5432098765432098,0.5142857142857142,0.49382716049382713,0.4931506849315068,0.43243243243243246,0.4953811737373381,0.03637279349949212,27
0.11673455238342285,0.016163748430030777,0.005118560791015625,0.0014086266368767875,1.0,5,1.0,0.001,500,3,0.07444444444444444,3.0,0.5,"{'subsample': np.float64(1.0), 'scale_pos_weight': 5, 'reg_lambda': np.float64(1.0), 'reg_alpha': np.float64(0.001), 'n_estimators': np.int64(500), 'max_depth': np.int64(3), 'learning_rate': np.float64(0.07444444444444444), 'gamma': np.float64(3.0), 'colsample_bytree': np.float64(0.5)}",0.5373134328358209,0.4444444444444444,0.4935064935064935,0.379746835443038,0.5066666666666667,0.47233557457929265,0.055135367071925435,50
0.06334309577941895,0.011628154402319126,0.005399370193481445,0.0022158175175175103,0.5,10,0.1,0.01,100,5,0.1711111111111111,3.5,0.8,"{'subsample': np.float64(0.5), 'scale_pos_weight': 10, 'reg_lambda': np.float64(0.1), 'reg_alpha': np.float64(0.01), 'n_estimators': np.int64(100), 'max_depth': np.int64(5), 'learning_rate': np.float64(0.1711111111111111), 'gamma': np.float64(3.5), 'colsample_bytree': np.float64(0.8)}",0.463768115942029,0.5,0.5714285714285714,0.3888888888888889,0.43478260869565216,0.4717736369910283,0.06169301343918231,51
0.2591562747955322,0.031771326373332666,0.008908224105834962,0.004402033735942541,0.6,2,1.0,0.1,800,7,0.23555555555555557,2.0,0.7,"{'subsample': np.float64(0.6), 'scale_pos_weight': 2, 'reg_lambda': np.float64(1.0), 'reg_alpha': np.float64(0.1), 'n_estimators': np.int64(800), 'max_depth': np.int64(7), 'learning_rate': np.float64(0.23555555555555557), 'gamma': np.float64(2.0), 'colsample_bytree': np.float64(0.7)}",0.5185185185185185,0.32142857142857145,0.4482758620689655,0.4067796610169492,0.5660377358490566,0.45220806977641226,0.08548303721624949,68
0.533574390411377,0.011166054450305475,0.011155366897583008,0.004185493196436806,0.8,5,1.0,0.001,700,5,0.01,2.0,1.0,"{'subsample': np.float64(0.8), 'scale_pos_weight': 5, 'reg_lambda': np.float64(1.0), 'reg_alpha': np.float64(0.001), 'n_estimators': np.int64(700), 'max_depth': np.int64(5), 'learning_rate': np.float64(0.01), 'gamma': np.float64(2.0), 'colsample_bytree': np.float64(1.0)}",0.5357142857142857,0.47619047619047616,0.5396825396825397,0.4482758620689655,0.5614035087719298,0.5122533344856393,0.042689961086659685,8
0.20383200645446778,0.03281661235476039,0.010251331329345702,0.0034619304464613546,0.5,10,1.0,1.0,500,7,0.07444444444444444,3.5,0.7,"{'subsample': np.float64(0.5), 'scale_pos_weight': 10, 'reg_lambda': np.float64(1.0), 'reg_alpha': np.float64(1.0), 'n_estimators': np.int64(500), 'max_depth': np.int64(7), 'learning_rate': np.float64(0.07444444444444444), 'gamma': np.float64(3.5), 'colsample_bytree': np.float64(0.7)}",0.5352112676056338,0.5,0.4810126582278481,0.43037974683544306,0.5454545454545454,0.4984116436246941,0.041233077710181955,21
0.17066922187805175,0.016071072459131874,0.010309934616088867,0.005628509156992273,0.8,10,0.01,0.1,200,11,0.042222222222222223,2.0,1.0,"{'subsample': np.float64(0.8), 'scale_pos_weight': 10, 'reg_lambda': np.float64(0.01), 'reg_alpha': np.float64(0.1), 'n_estimators': np.int64(200), 'max_depth': np.int64(11), 'learning_rate': np.float64(0.042222222222222223), 'gamma': np.float64(2.0), 'colsample_bytree': np.float64(1.0)}",0.4444444444444444,0.4262295081967213,0.5483870967741935,0.44776119402985076,0.5079365079365079,0.4749517502763435,0.045879457896838935,48
0.07777094841003418,0.011726880988688713,0.006690073013305664,0.0017846880565132001,0.5,5,0.001,0.1,200,11,0.1711111111111111,4.5,0.6,"{'subsample': np.float64(0.5), 'scale_pos_weight': 5, 'reg_lambda': np.float64(0.001), 'reg_alpha': np.float64(0.1), 'n_estimators': np.int64(200), 'max_depth': np.int64(11), 'learning_rate': np.float64(0.1711111111111111), 'gamma': np.float64(4.5), 'colsample_bytree': np.float64(0.6)}",0.4642857142857143,0.5079365079365079,0.5070422535211268,0.4927536231884058,0.5074626865671642,0.4958961570997838,0.016805271386745143,26
0.1005509376525879,0.023972688938817648,0.004438972473144532,0.00042421130040949185,1.0,5,0.1,0.1,300,7,0.2677777777777778,1.0,0.6,"{'subsample': np.float64(1.0), 'scale_pos_weight': 5, 'reg_lambda': np.float64(0.1), 'reg_alpha': np.float64(0.1), 'n_estimators': np.int64(300), 'max_depth': np.int64(7), 'learning_rate': np.float64(0.2677777777777778), 'gamma': np.float64(1.0), 'colsample_bytree': np.float64(0.6)}",0.47058823529411764,0.4,0.4838709677419355,0.38596491228070173,0.4727272727272727,0.44263027760880547,0.04102822256087357,72
0.16045646667480468,0.01829964725576714,0.025956344604492188,0.031953468710213526,0.6,2,0.001,1.0,600,9,0.23555555555555557,2.5,0.8,"{'subsample': np.float64(0.6), 'scale_pos_weight': 2, 'reg_lambda': np.float64(0.001), 'reg_alpha': np.float64(1.0), 'n_estimators': np.int64(600), 'max_depth': np.int64(9), 'learning_rate': np.float64(0.23555555555555557), 'gamma': np.float64(2.5), 'colsample_bytree': np.float64(0.8)}",0.5614035087719298,0.36,0.5185185185185185,0.38461538461538464,0.4745762711864407,0.45982273661845474,0.0769444467232248,64
