mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0024837970733642576,0.0004590535716087802,0.0016805648803710938,0.0005535174410019037,gini,15,log2,8,8,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 8}",0.4950954633035558,0.6204238921001928,0.6628131021194604,0.5866963064295485,0.6686046511627907,0.6067266830231096,0.06328495569596837,95
0.0018534183502197266,0.00023256035048209323,0.0010904312133789063,0.00011607049004713866,entropy,19,log2,11,12,"{'criterion': 'entropy', 'max_depth': 19, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 12}",0.6278682781572955,0.5739183744964091,0.6448589945699772,0.6561217510259918,0.6427061310782242,0.6290947058655796,0.029017844623824576,57
0.001612710952758789,0.00016260058998473348,0.0010822296142578125,0.00013819431895792657,entropy,4,log2,2,13,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 13}",0.6005430022771063,0.6654405324925556,0.6403923629357157,0.5363372093023255,0.6617336152219874,0.6208893444459382,0.04815904429865655,77
0.0017967700958251953,0.00012586562773297757,0.001003599166870117,6.043722405586087e-05,entropy,6,sqrt,1,13,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 13}",0.7549483272026625,0.625678752846383,0.6600980907339289,0.5850718194254446,0.6919485553206484,0.6635491091058136,0.05790527440677657,9
0.00041217803955078124,1.9610939028809927e-05,0.0,0.0,entropy,12,auto,17,11,"{'criterion': 'entropy', 'max_depth': 12, 'max_features': 'auto', 'min_samples_leaf': 17, 'min_samples_split': 11}",,,,,,,,128
0.0015897274017333985,1.888564116590357e-05,0.0012762069702148438,0.0005088613796387581,entropy,16,log2,15,13,"{'criterion': 'entropy', 'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 15, 'min_samples_split': 13}",0.6572954983359608,0.6089507794710106,0.5926607111578209,0.5918262653898769,0.611522198731501,0.612451090617234,0.023837694757277778,86
0.00037860870361328125,1.0498000785260715e-05,0.0,0.0,gini,3,auto,19,8,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 19, 'min_samples_split': 8}",,,,,,,,128
0.0015092849731445312,9.510942367357181e-05,0.0009626865386962891,2.8223523736898848e-05,gini,9,log2,18,5,"{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 18, 'min_samples_split': 5}",0.6198984060255737,0.6701699071641268,0.6669294097039762,0.6283344733242133,0.6085271317829457,0.6387718656001672,0.02513394064415934,44
0.0017502307891845703,0.00013613830305242403,0.0010565757751464845,8.430726384349073e-05,gini,14,sqrt,9,3,"{'criterion': 'gini', 'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 3}",0.5955508845682256,0.6999474513925381,0.5745314415834647,0.6848495212038304,0.6065891472868217,0.632293689206976,0.05037138360876811,54
0.0018744945526123046,0.00022685611868024526,0.0012143611907958984,0.0001780427579399638,entropy,15,log2,12,9,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 12, 'min_samples_split': 9}",0.6643895603433176,0.570415133998949,0.6440707654580486,0.6378248974008207,0.6116983791402396,0.6256797472682752,0.03235379416588788,66
0.0016875743865966796,4.735677214450166e-05,0.0012650012969970704,0.00018585699476907167,gini,3,sqrt,17,5,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 17, 'min_samples_split': 5}",0.5896829567349798,0.6156069364161849,0.6234892275354704,0.5510430916552667,0.5721458773784355,0.5903936179440674,0.02688114505341355,101
0.0019938468933105467,0.00012281657262661421,0.001111745834350586,0.00010558761866765139,entropy,8,sqrt,6,11,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 11}",0.6316342616920652,0.6091259414958836,0.6349623401646523,0.6083276333789329,0.654862579281184,0.6277825512025437,0.017471553321016093,61
0.001832723617553711,0.00013158770432769817,0.0010970115661621093,6.328464487406532e-05,entropy,18,sqrt,12,3,"{'criterion': 'entropy', 'max_depth': 18, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 3}",0.5630583289542828,0.7194780171658786,0.7361184095288142,0.590030779753762,0.6516913319238901,0.6520753734653255,0.06838137407044712,23
0.0015369415283203124,9.942993513103805e-05,0.001042318344116211,0.0001226522499660107,entropy,4,sqrt,16,16,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 16}",0.5653354352776319,0.6993343843054827,0.6821685058679279,0.5711354309165526,0.6231501057082452,0.6282247724151679,0.0551480138582418,59
0.0018293380737304688,0.00014995110176334618,0.0010631084442138672,0.00010403402280296587,entropy,14,log2,8,17,"{'criterion': 'entropy', 'max_depth': 14, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 17}",0.592660711157821,0.6346120161149063,0.6871606235768085,0.5465971272229823,0.7370507399577169,0.639616243606047,0.0672850198470259,41
0.0016476631164550782,0.00010465716411455562,0.0011476039886474609,0.00027822476102818056,gini,18,log2,13,10,"{'criterion': 'gini', 'max_depth': 18, 'max_features': 'log2', 'min_samples_leaf': 13, 'min_samples_split': 10}",0.5657733403398143,0.5600805745314416,0.6504641793659135,0.6164500683994527,0.6817300916138125,0.6148996508500869,0.04722726502474062,84
0.0004286766052246094,4.506174218276279e-05,0.0,0.0,gini,15,auto,1,8,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 8}",,,,,,,,128
0.001316070556640625,0.00017074252950782963,0.0009520053863525391,6.287835204141916e-05,gini,1,log2,11,18,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 18}",0.48616220003503247,0.5039411455596426,0.498949027850762,0.48734610123119015,0.5837737843551797,0.5120344518063613,0.036502465194812476,124
