mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tol,param_solver,param_penalty,param_max_iter,param_class_weight,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.030129528045654295,0.004404879967965889,0.006781721115112304,0.0033189803908223337,0.0001,newton-cg,l2,500,balanced,1000.0,"{'tol': 0.0001, 'solver': 'newton-cg', 'penalty': 'l2', 'max_iter': 500, 'class_weight': 'balanced', 'C': 1000}",0.8017165878437554,0.7768435803117885,0.8481345244351024,0.7662448700410396,0.8091966173361522,0.8004272359935676,0.028562817806366075,52
0.0021789073944091797,0.00122063046105002,0.0,0.0,0.01,lbfgs,l1,400,balanced,0.0001,"{'tol': 0.01, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 400, 'class_weight': 'balanced', 'C': 0.0001}",,,,,,,,62
0.0009959220886230468,0.0002867856765057989,0.0,0.0,0.01,lbfgs,l1,100,balanced,0.0001,"{'tol': 0.01, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 100, 'class_weight': 'balanced', 'C': 0.0001}",,,,,,,,62
0.003911352157592774,0.0016881230656823087,0.0018910884857177735,0.0006368569036407548,0.0001,lbfgs,l2,400,balanced,0.001,"{'tol': 0.0001, 'solver': 'lbfgs', 'penalty': 'l2', 'max_iter': 400, 'class_weight': 'balanced', 'C': 0.001}",0.8427045016640393,0.7987388334209143,0.859695218076721,0.7428180574555404,0.7692036645525018,0.8026320550339434,0.04375462107340343,40
0.002916717529296875,0.0013847065576521162,0.0013412952423095704,0.0005523031590671905,0.001,liblinear,l2,200,,0.0001,"{'tol': 0.001, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 200, 'class_weight': None, 'C': 0.0001}",0.814853739709231,0.7766684182869154,0.8302679978980556,0.7368331053351572,0.7455954897815362,0.7808437502021791,0.03686799633142093,58
0.000414276123046875,0.00013125514235429528,0.0,0.0,0.001,sag,l1,100,,10000.0,"{'tol': 0.001, 'solver': 'sag', 'penalty': 'l1', 'max_iter': 100, 'class_weight': None, 'C': 10000.0}",,,,,,,,62
0.0003991127014160156,3.734520920323913e-05,0.0,0.0,0.01,lbfgs,l1,200,,10000.0,"{'tol': 0.01, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 200, 'class_weight': None, 'C': 10000.0}",,,,,,,,62
0.00025157928466796876,6.429940005656305e-05,0.0,0.0,0.0001,sag,none,1000,balanced,1.0,"{'tol': 0.0001, 'solver': 'sag', 'penalty': 'none', 'max_iter': 1000, 'class_weight': 'balanced', 'C': 1}",,,,,,,,62
0.002335977554321289,0.00029497839576975344,0.001125478744506836,0.00035533681711139134,0.01,liblinear,l2,300,balanced,0.01,"{'tol': 0.01, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 300, 'class_weight': 'balanced', 'C': 0.01}",0.8561919775792608,0.7871781397792958,0.8787878787878787,0.7585499316005472,0.812015503875969,0.8185446863245904,0.0439827735301138,22
0.000500631332397461,0.00018197735327618757,0.0,0.0,0.01,saga,elasticnet,300,,10000.0,"{'tol': 0.01, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 300, 'class_weight': None, 'C': 10000.0}",,,,,,,,62
